Date,Close,Symbol
2/12/19 16:00,42.72,AAPL
2/13/19 16:00,42.55,AAPL
2/14/19 16:00,42.7,AAPL
2/15/19 16:00,42.61,AAPL
2/19/19 16:00,42.73,AAPL
2/20/19 16:00,43.01,AAPL
2/21/19 16:00,42.77,AAPL
2/22/19 16:00,43.24,AAPL
2/25/19 16:00,43.56,AAPL
2/26/19 16:00,43.58,AAPL
2/27/19 16:00,43.72,AAPL
2/28/19 16:00,43.29,AAPL
3/1/19 16:00,43.74,AAPL
3/4/19 16:00,43.96,AAPL
3/5/19 16:00,43.88,AAPL
3/6/19 16:00,43.63,AAPL
3/7/19 16:00,43.13,AAPL
3/8/19 16:00,43.23,AAPL
3/11/19 16:00,44.73,AAPL
3/12/19 16:00,45.23,AAPL
3/13/19 16:00,45.43,AAPL
3/14/19 16:00,45.93,AAPL
3/15/19 16:00,46.53,AAPL
3/18/19 16:00,47.01,AAPL
3/19/19 16:00,46.63,AAPL
3/20/19 16:00,47.04,AAPL
3/21/19 16:00,48.77,AAPL
3/22/19 16:00,47.76,AAPL
3/25/19 16:00,47.19,AAPL
3/26/19 16:00,46.7,AAPL
3/27/19 16:00,47.12,AAPL
3/28/19 16:00,47.18,AAPL
3/29/19 16:00,47.49,AAPL
4/1/19 16:00,47.81,AAPL
4/2/19 16:00,48.51,AAPL
4/3/19 16:00,48.84,AAPL
4/4/19 16:00,48.92,AAPL
4/5/19 16:00,49.25,AAPL
4/8/19 16:00,50.03,AAPL
4/9/19 16:00,49.88,AAPL
4/10/19 16:00,50.16,AAPL
4/11/19 16:00,49.74,AAPL
4/12/19 16:00,49.72,AAPL
4/15/19 16:00,49.81,AAPL
4/16/19 16:00,49.81,AAPL
4/17/19 16:00,50.78,AAPL
4/18/19 16:00,50.97,AAPL
4/22/19 16:00,51.13,AAPL
4/23/19 16:00,51.87,AAPL
4/24/19 16:00,51.79,AAPL
4/25/19 16:00,51.32,AAPL
4/26/19 16:00,51.08,AAPL
4/29/19 16:00,51.15,AAPL
4/30/19 16:00,50.17,AAPL
5/1/19 16:00,52.63,AAPL
5/2/19 16:00,52.29,AAPL
5/3/19 16:00,52.94,AAPL
5/6/19 16:00,52.12,AAPL
5/7/19 16:00,50.72,AAPL
5/8/19 16:00,50.73,AAPL
5/9/19 16:00,50.18,AAPL
5/10/19 16:00,49.3,AAPL
5/13/19 16:00,46.43,AAPL
