Date,Close,Symbol
2/12/19 16:00,359.97,NFLX
2/13/19 16:00,351.77,NFLX
2/14/19 16:00,359.07,NFLX
2/15/19 16:00,356.87,NFLX
2/19/19 16:00,361.92,NFLX
2/20/19 16:00,359.91,NFLX
2/21/19 16:00,356.97,NFLX
2/22/19 16:00,363.02,NFLX
2/25/19 16:00,363.91,NFLX
2/26/19 16:00,364.97,NFLX
2/27/19 16:00,362.87,NFLX
2/28/19 16:00,358.1,NFLX
3/1/19 16:00,357.32,NFLX
3/4/19 16:00,351.04,NFLX
3/5/19 16:00,354.3,NFLX
3/6/19 16:00,359.61,NFLX
3/7/19 16:00,352.6,NFLX
3/8/19 16:00,349.6,NFLX
3/11/19 16:00,358.86,NFLX
3/12/19 16:00,356.27,NFLX
3/13/19 16:00,361.21,NFLX
3/14/19 16:00,358.82,NFLX
3/15/19 16:00,361.46,NFLX
3/18/19 16:00,363.44,NFLX
3/19/19 16:00,358.78,NFLX
3/20/19 16:00,375.22,NFLX
3/21/19 16:00,377.87,NFLX
3/22/19 16:00,361.01,NFLX
3/25/19 16:00,366.23,NFLX
3/26/19 16:00,359.97,NFLX
3/27/19 16:00,353.37,NFLX
3/28/19 16:00,354.61,NFLX
3/29/19 16:00,356.56,NFLX
4/1/19 16:00,366.96,NFLX
4/2/19 16:00,367.72,NFLX
4/3/19 16:00,369.75,NFLX
4/4/19 16:00,367.88,NFLX
4/5/19 16:00,365.49,NFLX
4/8/19 16:00,361.41,NFLX
4/9/19 16:00,364.71,NFLX
4/10/19 16:00,363.92,NFLX
4/11/19 16:00,367.65,NFLX
4/12/19 16:00,351.14,NFLX
4/15/19 16:00,348.87,NFLX
4/16/19 16:00,359.46,NFLX
4/17/19 16:00,354.74,NFLX
4/18/19 16:00,360.35,NFLX
4/22/19 16:00,377.34,NFLX
4/23/19 16:00,381.89,NFLX
4/24/19 16:00,374.23,NFLX
4/25/19 16:00,368.33,NFLX
4/26/19 16:00,374.85,NFLX
4/29/19 16:00,371.83,NFLX
4/30/19 16:00,370.54,NFLX
5/1/19 16:00,378.81,NFLX
5/2/19 16:00,379.06,NFLX
5/3/19 16:00,385.03,NFLX
5/6/19 16:00,378.67,NFLX
5/7/19 16:00,370.46,NFLX
5/8/19 16:00,364.37,NFLX
5/9/19 16:00,362.75,NFLX
5/10/19 16:00,361.04,NFLX
5/13/19 16:00,345.26,NFLX
